City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Amapa,BR,1.0,-52.0,71.85,99,100,2.73,overcast clouds
240,Morondava,MG,-20.2833,44.2833,67.5,85,0,6.64,clear sky
241,Asau,RO,46.4333,26.4,59.76,99,90,3.74,overcast clouds
242,Springdale,US,36.1867,-94.1288,66.07,97,75,17.0,moderate rain
243,Chakwal,PK,32.9334,72.8585,83.61,12,0,3.89,clear sky
244,Bathsheba,BB,13.2167,-59.5167,80.6,61,20,16.11,few clouds
245,Bengkulu,ID,-3.8004,102.2655,76.48,90,97,4.09,overcast clouds
246,Tromso,NO,69.6496,18.957,41.02,65,90,4.0,overcast clouds
247,Tongren,CN,27.7172,109.1853,69.69,86,99,1.52,light rain
248,Bambanglipuro,ID,-7.95,110.2833,64.0,84,15,3.31,few clouds
249,Ewa Beach,US,21.3156,-158.0072,87.8,61,1,14.97,clear sky
250,Maniitsoq,GL,65.4167,-52.9,34.93,88,47,2.39,scattered clouds
251,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,45,20,18.41,few clouds
252,Tikhvin,RU,59.6451,33.5294,51.01,88,100,5.68,overcast clouds
253,Seoul,KR,37.5683,126.9778,54.97,88,90,6.49,light rain
254,Waitati,NZ,-45.75,170.5667,48.79,82,100,4.72,overcast clouds
255,Chokurdakh,RU,70.6333,147.9167,42.08,57,21,12.06,few clouds
256,Gijon,ES,43.5357,-5.6615,59.85,86,100,1.01,overcast clouds
257,Ambon,ID,-3.6954,128.1814,84.2,74,40,10.69,scattered clouds
258,Tautira,PF,-17.7333,-149.15,86.02,67,23,10.49,few clouds
259,Marawi,PH,7.9986,124.2928,75.65,65,21,1.19,few clouds
260,Lienz,AT,46.8289,12.769,50.0,94,42,6.04,scattered clouds
261,Kahului,US,20.8947,-156.47,87.82,63,40,21.85,scattered clouds
262,Dukat,RU,62.55,155.55,34.59,99,100,5.12,moderate rain
263,Nizhniy Kuranakh,RU,58.8353,125.4869,50.47,79,97,1.68,light rain
264,Catuday,PH,16.2923,119.8062,84.49,72,73,6.38,broken clouds
265,Campeche,MX,19.0,-90.5,87.98,52,75,4.32,broken clouds
266,Kulunda,RU,52.566,78.9385,49.28,59,0,12.08,clear sky
267,Ciudad Bolivar,VE,8.1222,-63.5497,76.87,88,98,13.2,overcast clouds
268,Zhigansk,RU,66.7697,123.3711,52.47,58,0,19.89,clear sky
269,The Valley,AI,18.217,-63.0578,82.26,83,40,8.05,scattered clouds
270,Araguaina,BR,-7.1911,-48.2072,75.34,54,29,2.26,scattered clouds
271,Kemijarvi,FI,66.7131,27.4306,38.89,72,82,6.62,broken clouds
272,Meadow Lake,US,34.8014,-106.5436,86.68,10,11,9.46,few clouds
273,Basco,PH,20.4487,121.9702,84.34,73,30,10.51,scattered clouds
274,Butte,US,39.6499,-121.5677,89.91,19,1,5.19,clear sky
275,Yuncheng,CN,35.0231,110.9928,73.02,21,72,6.82,broken clouds
