City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Masvingo,ZW,2021-05-24 19:57:23,-20.0637,30.8277,51.64,74,0,4.92
156,College,US,2021-05-24 19:57:23,64.8569,-147.8028,64.47,35,1,8.05
157,Huangnihe,CN,2021-05-24 19:57:24,43.5583,128.0239,37.54,62,9,3.58
158,Moron,AR,2021-05-24 19:55:38,-34.6534,-58.6198,64.29,62,0,10.54
159,Dikson,RU,2021-05-24 19:52:54,73.5069,80.5464,21.74,91,46,7.83
160,Fairbanks,US,2021-05-24 19:54:06,64.8378,-147.7164,65.39,36,1,8.05
161,Rivera,UY,2021-05-24 19:57:24,-30.9053,-55.5508,56.97,63,0,7.38
162,Henties Bay,NA,2021-05-24 19:53:27,-22.116,14.2845,73.85,56,6,8.03
163,Sao Filipe,CV,2021-05-24 19:53:17,14.8961,-24.4956,73.74,77,2,13.18
164,Bathsheba,BB,2021-05-24 19:57:25,13.2167,-59.5167,86.61,69,40,16.24
165,Faanui,PF,2021-05-24 19:54:44,-16.4833,-151.75,81.54,75,93,11.07
166,Taltal,CL,2021-05-24 19:53:39,-25.4,-70.4833,67.8,64,100,3.15
167,Seybaplaya,MX,2021-05-24 19:57:25,19.65,-90.6667,90.86,53,45,9.37
168,Asau,RO,2021-05-24 19:57:26,46.4333,26.4,56.95,81,74,0.81
169,Zeya,RU,2021-05-24 19:52:56,53.75,127.2667,42.48,93,100,4.56
170,Tuatapere,NZ,2021-05-24 19:53:02,-46.1333,167.6833,33.6,91,12,5.21
171,Kavaratti,IN,2021-05-24 19:54:52,10.5669,72.642,84.0,75,93,12.24
172,San Vicente,AR,2021-05-24 19:54:55,-26.6167,-54.1333,58.84,51,14,1.88
173,Samarai,PG,2021-05-24 19:57:26,-10.6167,150.6667,79.77,73,79,14.79
174,Ponta Do Sol,PT,2021-05-24 19:53:46,32.6667,-17.1,68.0,77,42,5.1
175,Taunggyi,MM,2021-05-24 19:57:27,20.7833,97.0333,65.19,92,77,3.96
176,Santa Maria,BR,2021-05-24 19:57:27,-29.6842,-53.8069,60.1,68,40,6.87
177,Bilibino,RU,2021-05-24 19:57:27,68.0546,166.4372,35.49,80,100,2.28
178,Barrow,US,2021-05-24 19:53:06,71.2906,-156.7887,31.32,90,100,11.1
179,Half Moon Bay,US,2021-05-24 19:53:19,37.4636,-122.4286,85.57,74,40,9.44
180,Mabaruma,GY,2021-05-24 19:57:28,8.2,-59.7833,83.23,66,99,7.43
181,Kudahuvadhoo,MV,2021-05-24 19:53:12,2.6708,72.8944,83.91,73,80,18.14
182,Lodwar,KE,2021-05-24 19:57:28,3.1191,35.5973,87.26,42,27,1.32
183,Thio,NC,2021-05-24 19:57:29,-21.6167,166.2167,60.76,72,41,4.0
184,Winnemucca,US,2021-05-24 19:55:35,40.973,-117.7357,66.25,28,20,12.64
185,Asaba,NG,2021-05-24 19:57:29,6.2006,6.7338,81.55,76,80,7.94
186,Chadan,RU,2021-05-24 19:57:29,51.2833,91.5833,48.11,85,11,4.18
187,Sampit,ID,2021-05-24 19:57:29,-2.5333,112.95,75.0,97,61,0.69
188,Yenagoa,NG,2021-05-24 19:57:30,4.9247,6.2642,78.24,89,100,4.5
189,Kununurra,AU,2021-05-24 19:53:59,-15.7667,128.7333,66.18,100,8,1.14
190,Baoro,CF,2021-05-24 19:57:30,5.6667,15.9667,72.79,77,21,1.57
191,Shenjiamen,CN,2021-05-24 19:57:31,29.9576,122.298,66.47,82,100,8.16
192,Ruthin,GB,2021-05-24 19:57:31,53.1137,-3.3178,54.97,71,55,1.01
193,Ranong,TH,2021-05-24 19:57:31,9.9658,98.6348,80.83,83,100,12.37
194,Leh,IN,2021-05-24 19:57:31,34.1667,77.5833,40.17,65,99,4.07
195,La Ronge,CA,2021-05-24 19:57:32,55.1001,-105.2842,46.62,100,90,17.27
196,Vila Franca Do Campo,PT,2021-05-24 19:53:16,37.7167,-25.4333,64.81,67,100,4.94
197,Narsaq,GL,2021-05-24 19:57:32,60.9167,-46.05,44.94,53,100,1.19
198,Sorland,NO,2021-05-24 19:57:32,67.667,12.6934,46.47,74,33,16.87
199,Carnarvon,AU,2021-05-24 19:52:41,-24.8667,113.6333,53.67,94,0,8.05
200,Kieta,PG,2021-05-24 19:53:27,-6.2167,155.6333,78.53,87,97,7.07
201,Paciran,ID,2021-05-24 19:57:33,-6.8767,112.3761,77.81,86,18,6.42
202,Mahebourg,MU,2021-05-24 19:53:35,-20.4081,57.7,73.69,73,75,5.75
203,Bengkulu,ID,2021-05-24 19:54:32,-3.8004,102.2655,75.7,93,99,3.76
204,Vostok,RU,2021-05-24 19:55:29,46.4856,135.8833,39.9,96,66,2.33
205,Walvis Bay,NA,2021-05-24 19:53:26,-22.9575,14.5053,74.35,43,8,10.09
206,Kahului,US,2021-05-24 19:53:31,20.8947,-156.47,84.97,69,20,5.75
207,Tromso,NO,2021-05-24 19:52:48,69.6496,18.957,45.25,52,40,11.5
208,Srednekolymsk,RU,2021-05-24 19:53:58,67.45,153.6833,49.59,49,0,10.22
209,Vardo,NO,2021-05-24 19:54:24,70.3705,31.1107,37.38,60,75,2.3
210,Guerrero Negro,MX,2021-05-24 19:48:29,27.9769,-114.0611,75.18,47,1,10.98
211,Powell,US,2021-05-24 19:53:57,40.1578,-83.0752,85.41,74,40,1.01
212,Challans,FR,2021-05-24 19:54:02,46.8436,-1.8749,53.8,78,9,8.99
213,Chihuahua,MX,2021-05-24 19:57:34,28.5,-106.0,85.26,14,86,4.05
214,Horta,PT,2021-05-24 19:57:35,38.5333,-28.6333,64.04,68,20,14.97
215,Portland,US,2021-05-24 19:54:21,45.5234,-122.6762,60.49,89,90,7.0
216,Takaka,NZ,2021-05-24 19:57:35,-40.85,172.8,50.56,72,0,5.59
217,Flinders,AU,2021-05-24 19:57:35,-34.5833,150.8552,60.39,91,100,1.01
218,Vao,NC,2021-05-24 19:54:04,-22.6667,167.4833,71.17,61,7,21.39
219,Sechura,PE,2021-05-24 19:57:36,-5.5569,-80.8222,77.7,65,43,12.71
220,Oussouye,SN,2021-05-24 19:53:10,12.485,-16.5469,77.52,65,46,13.62
221,Matagami,CA,2021-05-24 19:57:36,49.7502,-77.6328,64.51,26,1,11.52
222,Jilib,SO,2021-05-24 19:57:37,0.4883,42.7854,75.79,80,0,10.22
223,Hirara,JP,2021-05-24 19:54:58,24.8,125.2833,79.99,81,99,6.51
224,Baykit,RU,2021-05-24 19:55:15,61.67,96.37,44.4,92,100,11.05
225,Inirida,CO,2021-05-24 19:57:37,3.8653,-67.9239,78.64,94,100,1.59
226,Vacha,RU,2021-05-24 19:57:37,55.8008,42.7706,56.79,69,100,4.94
227,Upington,ZA,2021-05-24 19:53:19,-28.4478,21.2561,62.98,39,100,6.91
228,Georgetown,MY,2021-05-24 19:52:30,5.4112,100.3354,82.89,85,20,1.99
229,Klaksvik,FO,2021-05-24 19:53:21,62.2266,-6.589,47.32,71,23,9.98
230,Shimoda,JP,2021-05-24 19:54:15,34.6667,138.95,65.16,87,100,9.08
231,Saravan,AM,2021-05-24 19:57:38,39.7196,45.6483,61.45,75,100,7.78
232,Tautira,PF,2021-05-24 19:57:39,-17.7333,-149.15,84.22,79,86,11.59
233,Kenai,US,2021-05-24 19:57:39,60.5544,-151.2583,63.03,50,0,5.59
234,Upata,VE,2021-05-24 19:57:39,8.0086,-62.3989,86.2,64,93,8.3
235,Taksimo,RU,2021-05-24 19:57:39,56.3444,114.8794,34.97,76,100,3.18
236,Muros,ES,2021-05-24 19:53:12,42.7762,-9.0603,60.24,78,31,10.0
237,Aksu,CN,2021-05-24 19:57:40,41.1231,80.2644,68.68,21,100,5.3
238,Khash,IR,2021-05-24 19:57:40,28.2211,61.2158,83.21,18,86,9.22
239,Shaowu,CN,2021-05-24 19:57:40,27.3409,117.4831,67.57,97,92,2.35
240,Roald,NO,2021-05-24 19:57:41,62.5833,6.1333,58.12,93,90,11.5
241,Solnechnyy,RU,2021-05-24 19:57:25,50.7214,136.6319,39.52,98,100,3.74
242,Ostrovnoy,RU,2021-05-24 19:54:42,68.0531,39.5131,33.71,84,96,14.41
243,Itoman,JP,2021-05-24 19:57:41,26.1247,127.6694,77.4,88,20,2.3
244,Bobo Dioulasso,BF,2021-05-24 19:57:42,11.1771,-4.2979,88.25,55,20,8.05
245,Zaragoza,ES,2021-05-24 19:55:10,41.6561,-0.8773,64.85,44,40,8.99
246,Cloquet,US,2021-05-24 19:57:42,46.7216,-92.4594,71.58,100,90,0.0
247,Mana,GF,2021-05-24 19:57:42,5.6592,-53.7767,75.7,95,100,5.21
248,Saint-Joseph,RE,2021-05-24 19:57:43,-21.3667,55.6167,70.18,79,72,16.06
249,Leningradskiy,RU,2021-05-24 19:57:43,69.3833,178.4167,31.8,88,100,9.37
250,Luderitz,NA,2021-05-24 19:54:19,-26.6481,15.1594,68.45,52,100,3.2
251,Caceres,ES,2021-05-24 19:57:43,39.522,-6.3748,63.81,48,5,7.52
252,Alta Floresta,BR,2021-05-24 19:55:13,-9.8756,-56.0861,91.22,55,20,5.75
253,Vanimo,PG,2021-05-24 19:53:44,-2.6741,141.3028,78.24,89,98,3.06
254,Quelimane,MZ,2021-05-24 19:57:44,-17.8786,36.8883,66.15,82,20,5.99
255,Kavieng,PG,2021-05-24 19:53:40,-2.5744,150.7967,81.43,76,98,3.2
256,Menongue,AO,2021-05-24 19:54:32,-14.6585,17.691,55.98,57,0,4.27
257,Lompoc,US,2021-05-24 19:54:30,34.6391,-120.4579,89.1,51,1,3.0
258,Tando Ghulam Ali,PK,2021-05-24 19:57:44,25.1311,68.8676,84.2,68,0,17.52
259,Dingli,MT,2021-05-24 19:57:45,35.8614,14.3822,67.82,77,0,8.05
260,Geraldton,AU,2021-05-24 19:52:22,-28.7667,114.6,55.81,63,40,9.06
261,Bonavista,CA,2021-05-24 19:54:57,48.6499,-53.1147,37.11,55,100,23.87
262,Pascagoula,US,2021-05-24 19:57:45,30.3658,-88.5561,89.56,55,98,7.49
263,Redlands,US,2021-05-24 19:56:00,34.0556,-117.1825,93.18,15,0,1.99
264,Biggar,GB,2021-05-24 19:57:46,55.6167,-3.5167,48.22,96,100,8.39
265,Simdega,IN,2021-05-24 19:57:46,22.6167,84.5167,87.17,26,100,8.59
266,Chuy,UY,2021-05-24 19:54:46,-33.6971,-53.4616,57.85,64,8,11.97
267,Sao Joao Da Barra,BR,2021-05-24 19:55:27,-21.6403,-41.0511,78.89,69,100,16.04
268,Severo-Kurilsk,RU,2021-05-24 19:54:42,50.6789,156.125,39.9,76,99,14.16
269,Moree,AU,2021-05-24 19:57:47,-29.4667,149.85,50.02,81,0,10.36
270,Shakhtinsk,KZ,2021-05-24 19:57:47,49.71,72.5872,55.96,36,3,5.06
271,Novopokrovskaya,RU,2021-05-24 19:57:47,45.9514,40.7006,61.66,94,100,7.65
272,Tumbagaan,PH,2021-05-24 19:57:48,5.3656,120.3139,79.97,78,93,1.14
273,Korla,CN,2021-05-24 19:50:09,41.7597,86.1469,70.43,19,51,3.04
274,Gidam,IN,2021-05-24 19:57:48,18.9833,81.4,84.81,33,100,2.13
275,Tingi,TZ,2021-05-24 19:57:48,-11.3,35.0333,57.74,89,78,1.99
276,Severnyy-Kospashskiy,RU,2021-05-24 19:57:49,59.0925,57.8008,56.61,97,85,3.29
277,Tessaoua,NE,2021-05-24 19:57:49,13.7574,7.9874,91.22,9,3,4.83
278,Kribi,CM,2021-05-24 19:57:49,2.95,9.9167,79.83,87,85,6.71
279,Samdari,IN,2021-05-24 19:57:50,25.8167,72.5833,90.97,37,0,12.03
280,Badou,TG,2021-05-24 19:57:50,7.5833,0.6,80.02,71,32,5.1
281,Shunyi,CN,2021-05-24 19:57:50,40.125,116.6453,60.75,31,0,11.18
